job_id,company,title,location,tags,url,scraped_at,run_id
1129271,Corelight,Manager Security Product Research,,"['Security', 'Manager', 'Cloud', 'Leader']",https://remoteok.com/remote-jobs/remote-manager-security-product-research-corelight-1129271,2025-12-25T19:08:12.015379+00:00,
1129270,MeridianLink,Software Engineer III,,"['Software', 'Design', 'C#', 'React', 'System', 'Technical', 'Web', 'Senior', 'Engineer']",https://remoteok.com/remote-jobs/remote-software-engineer-iii-meridianlink-1129270,2025-12-25T19:08:12.015379+00:00,
1129268,Immutable,Technical Customer Growth Manager,,"['Growth', 'Manager', 'SaaS', 'Web3', 'NFT', 'Game', 'Gaming', 'Technical', 'Support', 'Strategy', 'Health', 'Engineering', 'Recruitment']",https://remoteok.com/remote-jobs/remote-technical-customer-growth-manager-immutable-1129268,2025-12-25T19:08:12.015379+00:00,
1129267,BitMEX,Senior Software Engineer Trading Technology,,"['Software', 'Crypto', 'Cryptocurrency', 'Security', 'Senior', 'Engineer']",https://remoteok.com/remote-jobs/remote-senior-software-engineer-trading-technology-bitmex-1129267,2025-12-25T19:08:12.015379+00:00,
1129266,Sumo Logic,Software Engineer I Dev Tooling,,"['Software', 'Design', 'System', 'Technical', 'Support', 'Developer', 'Code', 'Web', 'JavaScript', 'Strategy', 'Senior', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-software-engineer-i-dev-tooling-sumo-logic-1129266,2025-12-25T19:08:12.015379+00:00,
1129265,LiveKit,Distributed Systems Engineer,,"['Design', 'Technical', 'Support', 'Developer', 'Cloud', 'Operational', 'Reliability', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-distributed-systems-engineer-livekit-1129265,2025-12-25T19:08:12.015379+00:00,
1129264,Socure,Sales Enablement and Training Manager,,"['Training', 'Manager', 'System', 'Management', 'Sales', 'Recruiting']",https://remoteok.com/remote-jobs/remote-sales-enablement-and-training-manager-socure-1129264,2025-12-25T19:08:12.015379+00:00,
1129263,Socure,Analytics Engineer,,"['Design', 'Technical', 'Support', 'Management', 'Analytics', 'Reliability', 'Recruiting', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-analytics-engineer-socure-1129263,2025-12-25T19:08:12.015379+00:00,
1129262,LiveKit,Security Compliance Specialist,,"['Security', 'Technical', 'Support', 'Software', 'Code', 'Management', 'Lead', 'Operations', 'Operational', 'Engineer', 'Engineering', 'Full-Time']",https://remoteok.com/remote-jobs/remote-security-compliance-specialist-livekit-1129262,2025-12-25T19:08:12.015379+00:00,
1129261,"Rebuy, Inc.",Overnight Customer Support Engineer,,"['SaaS', 'Front End', 'Ceo', 'Technical', 'Recruiter', 'Support', 'Software', 'Testing', 'Test', 'Coo', 'Scrum', 'Manager', 'JavaScript', 'HTML', 'Lead', 'Legal', 'Engineer', 'Ecommerce']",https://remoteok.com/remote-jobs/remote-overnight-customer-support-engineer-rebuy-inc-1129261,2025-12-25T19:08:12.015379+00:00,
1129259,Anchorage Digital,Member of Technical Staff Atlas,,"['Design', 'Crypto', 'Cryptocurrency', 'System', 'Security', 'Technical', 'Software', 'Testing', 'Growth', 'Code', 'Manager', 'Financial', 'Finance', 'Bank', 'C++', 'Cloud', 'API', 'Legal', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-member-of-technical-staff-atlas-anchorage-digital-1129259,2025-12-25T19:08:12.015379+00:00,
1129258,Loft Orbital Solutions,Senior Security Engineer,"Golden, CO or San Francisco","['Security', 'Design', 'Software', 'Growth', 'Code', 'Financial', 'Senior', 'Operations', 'Health', 'Healthcare', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-security-engineer-loft-orbital-solutions-1129258,2025-12-25T19:08:12.015379+00:00,
1129248,Illumio,Solution Engineer Inside Sales Support,,"['Salesforce', 'Security', 'Game', 'Technical', 'Support', 'Software', 'Financial', 'Cloud', 'Microsoft', 'Leader', 'Operational', 'Sales', 'Health', 'Engineer', 'Recruitment', 'Executive']",https://remoteok.com/remote-jobs/remote-solution-engineer-inside-sales-support-illumio-1129248,2025-12-25T19:08:12.015379+00:00,
1129245,Stacklok,Software Engineer II Golang,,"['Software', 'Design', 'System', 'Front End', 'Code', 'Management', 'Golang', 'Engineer', 'Backend']",https://remoteok.com/remote-jobs/remote-software-engineer-ii-golang-stacklok-1129245,2025-12-25T19:08:12.015379+00:00,
1129243,Oxylabs,Senior Web Scraping Engineer Python,,"['Python', 'Web', 'System', 'Front-End', 'Back-End', 'Support', 'CSS', 'Senior', 'Go', 'Engineer']",https://remoteok.com/remote-jobs/remote-senior-web-scraping-engineer-python-oxylabs-1129243,2025-12-25T19:08:12.015379+00:00,
1129242,Alpaca,Events Marketing Manager,Remote - North America or South America,"['Manager', 'Crypto', 'Developer', 'Financial', 'Investment', 'C', 'API', 'Strategy', 'Marketing', 'Executive']",https://remoteok.com/remote-jobs/remote-events-marketing-manager-alpaca-1129242,2025-12-25T19:08:12.015379+00:00,
1129152,Global Tech Services Solutions,Senior Backend Developer,Remote,"['Engineer', 'SaaS', 'Developer']",https://remoteok.com/remote-jobs/remote-senior-backend-developer-global-tech-services-solutions-1129152,2025-12-25T19:08:12.015379+00:00,
1129241,capital.com,Java Software Engineer,,"['Software', 'Design', 'Security', 'Code', 'Financial', 'Java', 'Operations', 'Reliability', 'Engineer', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-java-software-engineer-capital-com-1129241,2025-12-25T19:08:12.015379+00:00,
1129232,Quicknode,Senior Infrastructure Engineer Core Systems,,"['Design', 'Web3', 'Technical', 'Support', 'Cloud', 'Management', 'Senior', 'Operational', 'Go', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-infrastructure-engineer-core-systems-quicknode-1129232,2025-12-25T19:08:12.015379+00:00,
1129231,Pulley,Customer Support Specialist,,"['Technical', 'Support', 'Growth', 'Financial', 'Management', 'Engineering']",https://remoteok.com/remote-jobs/remote-customer-support-specialist-pulley-1129231,2025-12-25T19:08:12.015379+00:00,
1129230,NMI,Staff Software Engineer,,"['Software', 'Design', 'C#', 'Technical', 'Support', 'Code', 'Microsoft', 'Junior', 'Operational', 'Reliability', 'Engineer', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-staff-software-engineer-nmi-1129230,2025-12-25T19:08:12.015379+00:00,
1129229,Red Cell Partners,Security Engineer Cloud Security,,"['Security', 'Software', 'Cloud', 'Management', 'Excel', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-security-engineer-cloud-security-red-cell-partners-1129229,2025-12-25T19:08:12.015379+00:00,
1129228,Omada Health,Senior Software Engineer Platform,,"['Software', 'Design', 'Technical', 'Support', 'DevOps', 'Cloud', 'Senior', 'Operational', 'Medical', 'Health', 'Healthcare', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-software-engineer-platform-omada-health-1129228,2025-12-25T19:08:12.015379+00:00,
1129226,Braze,Senior Platform Infrastructure Engineer II,,"['Growth', 'Cloud', 'Senior', 'Operational', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-senior-platform-infrastructure-engineer-ii-braze-1129226,2025-12-25T19:08:12.015379+00:00,
1129225,HumanSignal,Support Engineer,Remote – Europe or East Coast North America,"['Training', 'Technical', 'Support', 'Test', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-support-engineer-humansignal-1129225,2025-12-25T19:08:12.015379+00:00,
1129224,Inkitt,Senior DevOps Engineer,Remote Mexico City,"['Redis', 'System', 'Security', 'Support', 'DevOps', 'Elasticsearch', 'C', 'Cloud', 'PostgreSQL', 'Senior', 'Analytics', 'Reliability', 'Engineer', 'Backend']",https://remoteok.com/remote-jobs/remote-senior-devops-engineer-inkitt-1129224,2025-12-25T19:08:12.015379+00:00,
1129223,Ava Labs,Staff Protocol Engineer EVM,,"['Web3', 'Code', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-staff-protocol-engineer-evm-ava-labs-1129223,2025-12-25T19:08:12.015379+00:00,
1129220,2100 NVIDIA USA,Senior Systems Engineer Software,,"['Software', 'Front End', 'Technical', 'Support', 'Test', 'Code', 'Cloud', 'API', 'Leader', 'Senior', 'Golang', 'Engineer', 'Engineering', 'Backend']",https://remoteok.com/remote-jobs/remote-senior-systems-engineer-software-2100-nvidia-usa-1129220,2025-12-25T19:08:12.015379+00:00,
1129217,xAI,Software Engineer Infrastructure Supercomputing,,"['Software', 'Security', 'Training', 'Cloud', 'Engineer', 'Engineering']",https://remoteok.com/remote-jobs/remote-software-engineer-infrastructure-supercomputing-xai-1129217,2025-12-25T19:08:12.015379+00:00,
1129216,Heartflow,Staff DevOps Engineer,,"['3d', 'Test', 'DevOps', 'Management', 'Healthcare', 'Engineer']",https://remoteok.com/remote-jobs/remote-staff-devops-engineer-heartflow-1129216,2025-12-25T19:08:12.015379+00:00,
1129207,OpenAI,Offensive Security Engineer Agent Security,,"['Security', 'Front End', 'Technical', 'Software', 'Testing', 'UI', 'Code', 'Web', 'Cloud', 'Strategy', 'Operations', 'Operational', 'Reliability', 'Engineer', 'Engineering', 'Linux']",https://remoteok.com/remote-jobs/remote-offensive-security-engineer-agent-security-openai-1129207,2025-12-25T19:08:12.015379+00:00,
1129205,Zipdev,Mid C# Fullstack Developer,,"['C#', 'Developer', 'SaaS', 'Training', 'Technical', 'Software', 'Code', 'Voice', 'DevOps', 'Laravel', 'PHP', 'NoSQL', 'Strategy', 'Analytics', 'Sales', 'Engineering', 'Backend', 'Fullstack']",https://remoteok.com/remote-jobs/remote-mid-c-fullstack-developer-zipdev-1129205,2025-12-25T19:08:12.015379+00:00,
