run_id,scraped_at,total_jobs,new_jobs,existing_jobs
7805d1ab-16fa-4419-9994-03da55d4f834,2026-01-16T18:31:26.286487+00:00,130,5,125
792c0499-f622-4451-85d8-08dc92c5bb32,2026-01-17T06:29:50.425343+00:00,180,2,178
109b2f28-464f-40ba-a975-15e89894688c,2026-01-17T18:27:42.870635+00:00,131,4,127
9bd1fcc3-4289-45a9-b718-6d5eb07afd4a,2026-01-18T06:30:20.993292+00:00,131,4,127
0947971e-a0fe-4193-a68c-b594ad23d58a,2026-01-18T18:27:11.154326+00:00,230,2,228
d18e91f5-846b-4da3-b487-43d8f31a2051,2026-01-19T06:37:44.924839+00:00,180,2,178
cd169f63-ad8a-4c69-b305-27f4fc4f667b,2026-01-19T18:31:29.238972+00:00,130,5,125
3a6d9e08-b937-4118-9090-67bea98d22d8,2026-01-20T06:35:21.555336+00:00,178,8,170
97d07740-9e00-49d7-b6ff-6b8e1b8148ad,2026-01-20T18:36:01.066338+00:00,176,2,174
9faee4d7-b304-4067-a2c5-dcbd07f81472,2026-01-21T06:35:28.480393+00:00,126,4,122
93dde0c2-1179-4808-b27f-652779a33d6d,2026-01-21T18:41:09.682047+00:00,131,5,126
7d76d742-2cc4-472e-8fe0-89cac7211438,2026-01-22T06:33:57.494813+00:00,132,2,130
b0d0a503-aec9-4ee0-a113-0048f9c4a9ed,2026-01-22T18:31:57.609736+00:00,132,8,124
2c789039-feb4-42fc-b73c-13a40450f662,2026-01-23T06:34:02.938033+00:00,179,7,172
29f3db59-d19e-4a1f-a8e6-15aee5313055,2026-01-23T18:32:33.368682+00:00,131,3,128
af769321-036a-489c-bf13-02d1977ec540,2026-01-24T06:30:50.506432+00:00,129,5,124
16138503-1cc8-41b4-b3fa-fb86e1b67458,2026-01-24T18:29:18.438441+00:00,177,2,175
62306199-7f2f-42c4-ae4f-16472f46b012,2026-01-25T06:30:54.916997+00:00,176,3,173
c027c42a-38fd-4386-a2d2-e5c3ff103ad1,2026-01-25T18:29:25.246751+00:00,130,1,129
7f9a0d8f-f220-4fa5-bd18-5bcab8cab203,2026-01-26T06:36:07.242895+00:00,130,0,130
6717d797-691b-4c6b-a93d-65553925b0d2,2026-01-26T18:35:12.981005+00:00,132,7,125
63766089-2e40-4c21-8127-612c939e616f,2026-01-27T06:34:36.056815+00:00,179,21,158
c143eae7-dc26-4056-ad8a-cca8b2e22b35,2026-01-27T18:37:49.717744+00:00,179,5,174
ff992114-9105-4c16-a610-c74a50c79ac8,2026-01-28T06:35:29.883253+00:00,179,7,172
8df31a18-3970-4aea-bf60-4da7a2f9d76b,2026-01-28T18:36:35.382397+00:00,179,6,173
562fd80b-b556-49c8-b57f-dea1a44ab554,2026-01-29T06:45:20.509720+00:00,138,0,138
34e9e7df-3e3f-48d7-9a8c-6ede09a0f046,2026-01-29T18:43:46.437219+00:00,180,3,177
7b63266a-ae1e-44a5-9421-a65f63057724,2026-01-30T06:47:19.061214+00:00,138,1,137
f9354414-62a1-4da4-8564-f916f372612d,2026-01-30T18:40:56.063005+00:00,181,5,176
ec6fdbed-1237-461f-a478-7b9090096036,2026-01-31T06:38:08.624261+00:00,143,7,136
f955312f-a607-4e05-9135-8fe4f21edba8,2026-01-31T18:30:57.382243+00:00,146,5,141
fa218742-3dea-4ab2-9a01-9e79bac19fed,2026-02-01T06:47:53.586262+00:00,188,8,180
49c44915-bd49-4f0d-8950-512f28ee4484,2026-02-01T18:34:02.759167+00:00,148,32,116
0556fb5b-8356-4604-88b3-3265912be4cc,2026-02-02T07:01:54.784763+00:00,145,1,144
1c02e88f-6c5c-4229-9c26-deb8bf182e0e,2026-02-02T18:42:11.131896+00:00,194,12,182
95b6ebb4-a36c-4ccc-8c6a-2e0943b234e8,2026-02-03T06:51:04.452770+00:00,141,9,132
63e250ce-2565-4df4-af1a-00f68a62a931,2026-02-03T18:55:57.474072+00:00,190,7,183
6d52f04d-14a4-41a7-af1e-32f9c9eb12e7,2026-02-04T06:51:46.275388+00:00,188,13,175
0327c53e-50b5-4305-a12f-a48d38bb29e9,2026-02-04T18:50:04.397999+00:00,186,3,183
dd457b60-e5ac-4a82-a1b7-97239e92199c,2026-02-05T06:58:36.059233+00:00,188,8,180
665f46a9-a707-4aca-b703-5379da16dbbf,2026-02-05T18:46:08.426312+00:00,141,5,136
b6108b23-fc7e-4f79-a3cf-6f803be1c9da,2026-02-06T06:54:08.842478+00:00,139,3,136
1b51c1f4-b700-41b2-8e23-0be8b0ed20fe,2026-02-06T18:50:24.884798+00:00,139,4,135
c241660f-b8da-41d5-b611-bde116e09db4,2026-02-07T06:41:02.406167+00:00,187,8,179
1c6d06d3-6e00-4190-a6e8-8172b30cfd0b,2026-02-07T18:34:41.212329+00:00,138,0,138
4ae4d456-e0a6-4fdc-93d8-4f4057181a06,2026-02-08T06:49:13.548970+00:00,236,1,235
fb3da18a-9c0a-4035-9daa-99533c20e341,2026-02-08T18:36:13.166675+00:00,188,2,186
578a7d12-7211-42d9-9583-8d12015aea88,2026-02-09T07:03:22.663349+00:00,188,3,185
04adf419-d8bc-4b3e-9356-d95849d16d48,2026-02-10T08:08:46.443515+00:00,187,9,178
afa285a9-d0f8-4468-8d94-4e72cb3baef4,2026-02-10T19:04:23.249349+00:00,138,5,133
f616b1ca-3afc-4b0b-83c5-1e1cedad3c92,2026-02-11T07:00:00.532044+00:00,139,1,138
3360a696-1b97-4dcc-95e9-9093f649d7b0,2026-02-11T19:02:28.909046+00:00,140,6,134
e3de769e-cc84-4411-98c6-000ffc790573,2026-02-12T07:00:59.813455+00:00,141,6,135
82f1349b-6e77-4523-a193-4d46c386c4d3,2026-02-12T19:01:28.331259+00:00,141,7,134
690bb20d-6938-435e-9f71-b052326bf221,2026-02-13T06:58:31.303374+00:00,141,5,136
51c01c05-30f9-4a8a-acbc-23b1b554d637,2026-02-13T18:47:45.695160+00:00,141,3,138
561a6cf3-0e95-45b8-aebc-b2c11e65b617,2026-02-14T06:43:03.184651+00:00,187,14,173
aad245f4-ff1c-49a1-8a0a-537291574bcc,2026-02-14T18:34:07.582772+00:00,142,3,139
a9be3f83-61b4-47fe-8b25-cdd68b1b4d73,2026-02-15T06:51:30.992865+00:00,188,2,186
fdd76f8d-9b2d-445d-a687-da60ee068902,2026-02-15T18:35:36.096835+00:00,142,1,141
b9ef961a-79c4-486d-bf67-4d484793dc13,2026-02-16T07:02:08.167605+00:00,188,1,187
609010ec-1984-4d13-8a36-1a069e250769,2026-02-16T18:41:36.597005+00:00,144,4,140
27c37d04-36ef-465a-b42e-a3e0c33fa8bf,2026-02-17T06:58:21.296536+00:00,144,5,139
c6ed9cd2-0046-4bf5-bfd6-228ee31c2e8f,2026-02-17T18:56:43.314156+00:00,190,2,188
cb315343-34ad-4bd8-8e1b-49d09b23b0f9,2026-02-18T07:00:30.344113+00:00,146,14,132
2136c446-3461-417f-9f54-3ba8f74bab47,2026-02-18T18:54:02.474313+00:00,147,6,141
919b6de2-7b4a-436d-8604-ac5badf64b76,2026-02-19T06:59:04.986967+00:00,148,12,136
07753a30-a7b0-4c18-b82d-8602028496eb,2026-02-19T18:50:17.096298+00:00,148,7,141
11b6e26c-6dca-4681-8202-29f5363f752c,2026-02-20T06:55:31.048491+00:00,193,2,191
470f6f29-88f2-4195-82ed-fed6345aeddd,2026-02-20T18:44:49.877539+00:00,148,10,138
